OTUId	C7.3	E4.6	G8.5	C7.4	E4.1	E4.8	E4.3	E4.2	E4.4	C7.5	G8.1	G8.4	C7.2	E4.9	C7.1	E4.7	G8.3	E4.10	E4.5	G8.2
OTU_108;size=1285;	5	0	4	44	0	3	2	4	2	5	272	4	1	1	6	6	10	1352	14	4
OTU_332;size=166;	119	1	8	4	3	0	3	141	3	41	3	89	6	2	2	0	3	4	1	0
OTU_225;size=399;	0	0	202	65	1	2	1	1	22	28	19	50	0	81	24	2	105	0	1	1
OTU_211;size=695;	3	24	2	2	287	1	4	87	33	1	5	5	1	18	4	74	1	108	73	276
OTU_1118;size=46;	3	3	305	2	1	0	0	2	2	2	17	0	0	0	0	1	1	0	0	0
OTU_420;size=127;	0	0	1	0	0	2	1	0	0	0	204	1	0	0	0	0	0	0	0	1
OTU_1014;size=24;	0	0	0	1	0	0	2	35	0	0	1	0	0	0	1	0	0	0	0	0
OTU_241;size=297;	0	0	3	1	1	1	1	2	0	0	405	0	1	0	0	2	0	1	0	0
OTU_629;size=59;	0	0	1	0	0	0	0	0	0	1	0	9	0	0	0	77	0	0	0	0
OTU_249;size=235;	1	0	2	1	1	1	0	0	335	1	2	0	1	0	0	2	0	1	0	0
OTU_201;size=365;	0	0	0	2	1	2	0	1	2	1	2	2	1	0	0	493	2	0	16	0
OTU_508;size=75;	0	0	1	2	0	0	0	1	0	0	0	0	1	0	99	1	1	0	0	0
OTU_496;size=72;	0	93	0	0	0	0	0	0	0	0	0	3	0	2	2	0	1	0	15	0
OTU_66;size=2051;	5	1383	9	9	4	3	1	0	1	6	13	4	3	3	1	3	6	1	1009	2
OTU_56;size=3730;	8	184	17	91	52	7	432	227	322	67	289	894	96	210	131	484	378	313	462	163
OTU_239;size=298;	0	2	1	1	1	1	0	1	1	0	41	366	1	0	2	2	1	0	0	1
OTU_749;size=33;	1	0	0	0	49	0	1	1	0	0	0	0	0	10	0	0	1	0	0	0
OTU_711;size=53;	0	0	0	0	1	0	0	1	0	8	0	1	1	0	67	0	0	1	0	0
OTU_1432;size=52;	0	91	0	1	0	0	1	0	4	2	8	0	54	39	0	0	0	24	0	0
OTU_141;size=934;	2	1	405	4	2	1	0	4	2	3	193	4	35	2	177	465	3	2	2	2
OTU_347;size=184;	277	0	1	2	1	1	1	1	1	2	0	0	0	0	1	0	1	0	0	0
OTU_289;size=208;	0	0	1	274	0	1	1	2	0	0	2	1	0	0	37	1	1	1	0	0
OTU_493;size=86;	1	0	0	2	0	0	0	1	0	1	2	0	0	0	0	126	1	0	0	2
OTU_651;size=45;	0	0	0	2	0	0	0	0	0	0	0	0	62	1	0	1	0	1	0	0
OTU_121;size=1118;	1	21	242	1	86	0	0	35	182	304	8	27	8	64	49	91	240	27	139	1
OTU_274;size=532;	3	1	2	1	0	1	1	3	4	4	1	35	68	5	3	4	547	32	1	2
OTU_804;size=71;	1	12	1	125	1	0	0	13	0	3	0	0	0	19	1	0	1	13	2	20
OTU_187;size=828;	1	3	9	472	24	1	2	9	7	7	130	175	96	2	31	30	6	43	19	116
OTU_63;size=3234;	231	234	1141	117	516	4	143	72	302	17	415	145	8	117	135	44	157	101	29	47
OTU_334;size=276;	1	0	18	3	3	1	2	1	89	1	8	3	3	23	1	3	240	0	40	1
OTU_643;size=98;	0	0	0	1	1	1	0	1	1	0	0	2	1	0	0	0	1	127	1	0
OTU_1047;size=1866;	78	73	90	75	93	2	94	96	131	83	240	105	33	77	476	342	75	145	38	57
OTU_1229;size=310;	43	2	7	5	2	3	4	120	5	6	296	107	0	2	912	229	11	9	7	273
OTU_526;size=75;	2	0	0	0	1	0	1	0	0	7	0	113	0	0	0	0	2	1	2	0
OTU_624;size=57;	0	0	0	1	0	0	0	1	0	80	0	1	0	2	0	0	0	0	0	0
OTU_328;size=192;	0	2	1	0	0	0	0	1	3	2	0	1	2	1	18	1	0	0	262	0
OTU_741;size=39;	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	60	0	0	0	2
OTU_953;size=38;	7	0	1	13	0	1	0	0	0	0	2	5	1	0	5	0	18	0	0	1
OTU_322;size=175;	0	14	0	0	3	0	0	0	20	0	7	85	0	1	2	1	1	0	99	14
OTU_147;size=770;	2	1	3	13	5	2	1	983	5	0	2	7	4	4	5	3	1	1	2	3
OTU_850;size=237;	57	60	22	22	25	1	36	160	9	14	13	6	95	106	18	15	11	38	28	64
OTU_1201;size=7;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
OTU_1096;size=19;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
OTU_294;size=246;	2	0	78	2	0	1	257	2	24	4	2	3	1	1	0	3	1	0	22	0
OTU_191;size=698;	6	44	237	36	151	2	65	262	4	132	15	34	40	46	52	118	3	65	210	2
OTU_554;size=93;	0	3	0	51	0	1	1	0	2	1	0	2	30	0	0	1	1	73	0	0
OTU_670;size=53;	0	0	0	78	1	0	0	0	0	0	3	0	0	2	0	0	2	0	0	1
OTU_904;size=24;	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	48	0	0	0	0
OTU_144;size=1430;	3	4	7	11	1	2	1	6	0	4	132	1517	1	3	3	34	5	10	2	349
OTU_74;size=1914;	230	62	73	369	224	5	112	78	66	210	123	73	38	151	88	125	16	192	158	57
OTU_720;size=39;	0	0	0	0	0	1	1	0	0	57	1	0	0	1	0	0	0	0	0	0
OTU_157;size=588;	1	0	0	1	2	3	0	1	0	1	1	5	0	0	3	1	760	0	2	0
OTU_342;size=219;	1	1	96	0	2	1	1	158	39	2	4	0	0	0	22	0	3	0	4	0
OTU_172;size=521;	0	0	0	2	2	1	1	3	0	4	2	5	0	1	1	707	1	1	1	1
OTU_97;size=1274;	0	0	2	2	2	4	1537	1	1	0	1	4	0	1	3	1	2	0	1	0
OTU_474;size=125;	0	1	2	0	0	0	0	1	0	183	1	0	0	0	3	1	0	0	0	0
OTU_134;size=1312;	2	1	354	5	49	3	9	114	169	99	4	42	3	5	6	216	125	9	1	1
OTU_321;size=200;	0	0	28	2	1	1	0	1	0	1	0	126	0	0	21	37	1	66	5	0
OTU_130;size=1417;	216	2	2	724	1	3	2	3	149	6	2	70	2	20	373	5	77	2	1	269
OTU_221;size=301;	0	1	2	372	2	3	0	2	10	1	2	1	1	1	0	12	1	4	6	0
OTU_314;size=366;	0	2	0	67	2	1	0	3	0	3	1	2	1	259	34	1	1	176	1	0
OTU_861;size=26;	0	0	0	0	0	0	0	0	1	0	0	40	0	0	0	0	0	0	0	0
OTU_693;size=121;	1	8	17	1	0	0	69	0	0	0	0	12	0	89	0	1	0	0	0	0
OTU_286;size=262;	26	7	1	1	1	1	0	1	0	1	2	1	0	2	4	1	1	18	14	265
OTU_269;size=220;	1	0	308	3	0	0	2	2	0	2	3	1	0	0	3	2	0	0	0	1
OTU_402;size=137;	0	0	1	1	62	0	0	1	1	25	0	1	0	34	8	1	1	56	0	29
OTU_758;size=846;	36	128	19	25	108	2	155	462	74	13	34	12	54	202	21	5	18	148	133	144
OTU_179;size=474;	3	13	33	0	1	1	3	4	169	32	130	2	0	2	22	23	2	78	2	150
OTU_203;size=471;	38	11	57	40	91	3	87	19	18	68	37	34	6	31	46	51	33	12	16	27
OTU_386;size=151;	0	0	0	1	0	0	0	1	0	0	0	5	0	0	71	69	1	1	41	57
OTU_532;size=67;	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	92	1
OTU_277;size=289;	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_226;size=296;	1	1	275	1	1	0	0	1	157	1	1	4	0	0	1	2	1	1	2	0
OTU_368;size=441;	222	0	1	0	0	1	0	1	1	1	1	444	0	1	0	2	1	2	0	1
OTU_1360;size=4;	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1421;size=9;	0	0	3	4	26	0	4	7	7	5	8	7	5	5	21	4	3	5	4	0
OTU_1265;size=74;	21	15	55	34	22	4	28	33	9	6	12	22	12	57	10	24	15	39	11	12
OTU_190;size=410;	1	2	9	25	74	2	15	5	20	21	2	48	16	15	33	61	164	0	14	51
OTU_154;size=869;	26	44	8	6	2	6	7	335	59	6	253	7	128	4	25	174	43	7	41	57
OTU_243;size=252;	7	0	0	75	33	0	1	0	51	1	0	2	1	100	1	1	0	81	0	0
OTU_330;size=285;	0	4	22	0	0	0	3	0	0	27	94	4	0	1	248	1	2	42	1	1
OTU_194;size=909;	1	3	2	2	0	1	96	3	4	211	333	9	0	23	3	544	4	2	10	6
OTU_152;size=742;	104	1	277	5	2	1	14	19	2	2	1	65	0	95	1	3	5	418	1	40
OTU_124;size=995;	3	1	2	3	3	2	1	3	2	77	6	136	2	102	25	842	0	4	78	0
OTU_248;size=298;	1	1	3	12	2	2	286	93	3	4	3	6	1	1	2	4	1	1	2	3
OTU_590;size=653;	0	0	2	1	0	0	1	323	1	1	8	0	4	353	19	0	0	60	202	169
OTU_649;size=47;	0	0	0	0	0	0	0	0	0	41	0	0	0	0	2	0	0	1	0	29
OTU_168;size=508;	61	49	3	110	4	0	1	4	1	89	15	2	1	2	5	1	139	2	154	55
OTU_505;size=68;	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	94
OTU_341;size=158;	0	0	1	1	0	0	0	1	0	68	2	136	0	0	2	3	1	1	0	0
OTU_193;size=384;	0	0	134	68	235	0	0	2	0	2	3	3	0	0	61	20	3	0	3	0
OTU_515;size=91;	0	81	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	46	0
OTU_114;size=1751;	22	30	275	12	53	3	2	69	15	135	94	181	178	35	353	103	1	256	26	17
OTU_443;size=91;	0	0	0	0	1	0	0	1	0	0	0	140	0	0	0	2	1	0	0	0
OTU_82;size=2148;	10	3	8	590	7	2	152	37	3	38	13	7	4	7	15	1290	4	2	0	4
OTU_1544;size=2;	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	87	1	1	0
OTU_417;size=195;	155	0	2	97	1	1	1	2	1	1	0	30	0	0	1	4	3	0	0	0
OTU_384;size=189;	14	4	3	104	0	1	0	1	2	0	2	13	0	0	1	1	0	101	0	69
OTU_149;size=744;	5	1	0	4	4	1	1	2	0	5	2	3	3	2	3	3	11	1	941	1
OTU_500;size=85;	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	129	0	1
OTU_1176;size=33;	106	0	2	1	0	0	47	1	2	0	1	0	0	60	0	0	0	1	2	0
OTU_1555;size=38;	4	13	3	26	7	1	9	0	24	1	27	4	23	11	4	9	72	47	54	4
OTU_255;size=382;	0	0	2	55	0	1	4	1	438	0	58	4	0	0	3	1	2	1	2	3
OTU_111;size=1552;	86	75	194	81	4	4	119	1	59	12	7	12	347	33	64	12	11	548	150	303
OTU_329;size=159;	0	1	0	0	0	0	1	0	10	36	0	1	1	0	1	185	1	0	1	1
OTU_536;size=85;	0	0	1	0	0	0	0	0	34	2	1	64	0	0	1	0	2	31	0	1
OTU_133;size=931;	66	50	131	166	8	0	59	102	41	54	170	50	3	10	73	87	195	57	10	18
OTU_546;size=70;	1	0	49	0	1	0	0	0	0	1	1	0	0	1	0	47	0	15	0	0
OTU_1190;size=189;	24	35	3	12	35	2	25	117	15	7	12	1	23	51	3	2	4	49	22	24
OTU_227;size=312;	1	8	2	17	2	0	47	1	0	1	88	4	0	2	3	191	79	0	0	0
OTU_298;size=230;	2	21	1	42	21	1	1	2	2	35	0	26	0	38	65	4	1	112	1	0
OTU_572;size=67;	0	0	0	0	1	0	0	0	1	0	0	117	0	0	0	0	0	0	0	0
OTU_94;size=1420;	1	2	6	5	1199	2	2	2	1	2	144	350	1	1	8	4	3	0	4	2
OTU_206;size=747;	2	268	14	5	1	2	3	2	6	4	6	4	672	86	5	4	5	2	3	0
OTU_430;size=129;	0	0	2	52	0	0	0	0	1	2	1	84	0	2	3	69	1	1	0	1
OTU_422;size=185;	1	0	0	1	0	0	0	0	154	2	1	1	0	1	121	0	0	0	1	0
OTU_1424;size=17;	6	7	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	4	40
OTU_379;size=328;	19	1	3	6	4	0	1	0	1	1	86	0	4	1	184	103	1	40	0	85
OTU_466;size=93;	0	0	0	128	0	0	0	0	0	1	11	1	3	1	1	0	0	0	0	0
OTU_296;size=434;	0	18	6	4	18	2	46	64	3	1	279	8	6	188	8	3	2	0	2	3
OTU_957;size=21;	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	41	0	0
OTU_1022;size=14;	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_381;size=301;	3	0	207	1	13	1	2	3	1	3	2	7	1	3	1	0	0	82	1	1
OTU_214;size=514;	0	0	3	1	3	4	5	3	0	309	387	4	0	3	33	6	3	1	1	3
OTU_976;size=31;	0	0	1	0	1	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0
OTU_185;size=494;	3	2	2	0	141	2	3	115	0	3	6	3	0	5	147	1	138	52	1	80
OTU_841;size=27;	1	0	0	0	1	0	0	1	0	0	0	0	0	0	43	0	0	1	1	0
OTU_517;size=71;	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	112	0	0
OTU_253;size=235;	1	0	2	0	0	1	1	2	1	4	0	2	0	0	3	1	0	1	271	55
OTU_356;size=268;	0	8	0	0	1	1	69	1	117	1	1	31	0	0	156	1	5	0	1	1
OTU_230;size=504;	245	3	158	37	1	1	0	0	96	7	91	12	0	1	2	11	1	1	22	29
OTU_316;size=161;	0	0	129	0	14	1	0	5	0	1	2	58	1	0	20	4	0	0	0	0
OTU_544;size=62;	0	0	0	96	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2
OTU_1292;size=10;	0	0	0	0	1	0	0	0	0	0	6	1	5	0	0	0	0	0	0	1
OTU_388;size=124;	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	84	0	41	57	0
OTU_1375;size=29;	2	0	1	0	0	0	0	0	0	0	3	270	1	0	1	1	2	1	0	1
OTU_429;size=101;	0	0	0	0	0	151	0	0	0	1	1	0	0	0	1	1	0	0	0	1
OTU_247;size=299;	3	0	1	11	0	0	1	61	0	202	0	56	2	7	42	51	1	30	0	6
OTU_470;size=101;	1	0	0	0	0	0	1	1	0	156	1	0	0	1	3	1	0	0	0	0
OTU_1165;size=9;	1	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0
OTU_455;size=97;	0	0	1	0	150	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OTU_740;size=46;	70	0	0	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_273;size=237;	0	0	1	0	1	0	0	0	0	2	0	1	0	2	2	0	351	1	0	0
OTU_167;size=543;	697	0	0	0	2	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0
OTU_1178;size=1508;	9	4	11	12	8	4	5	4	10	8	8	8	3	12	25	18	8	12	10	4
OTU_183;size=508;	1	27	5	4	1	0	24	128	122	96	50	23	41	1	6	107	3	1	54	34
OTU_874;size=27;	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	37	1	0
OTU_184;size=663;	144	21	84	1	2	2	40	66	2	295	38	26	1	92	8	0	76	44	20	46
OTU_625;size=51;	1	0	1	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0
OTU_513;size=67;	1	0	0	0	0	0	0	1	0	102	0	0	0	0	1	0	0	0	0	0
OTU_361;size=158;	189	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	63	0	1
OTU_188;size=488;	3	0	5	3	566	1	2	2	97	1	0	2	0	1	0	2	2	0	2	0
OTU_415;size=111;	173	0	0	1	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0
OTU_1281;size=16;	122	0	2	0	0	0	0	1	0	1	1	0	0	36	0	8	0	1	0	1
OTU_181;size=867;	2	0	1	5	1	2	1	1	244	2	651	1	0	3	136	59	3	3	2	3
OTU_783;size=801;	26	28	2	21	37	2	31	170	7	33	6	5	15	16	8	8	0	26	31	21
OTU_377;size=127;	0	0	2	0	1	0	0	1	0	0	1	0	82	0	0	31	6	0	0	84
OTU_323;size=358;	0	1	0	0	1	0	0	0	0	0	4	521	0	0	0	1	1	0	0	0
OTU_1509;size=2;	0	0	0	0	0	0	1	0	0	0	5	0	0	1	0	0	0	0	1	0
OTU_278;size=222;	0	1	297	1	0	1	0	0	0	0	1	2	0	2	2	1	0	0	1	0
OTU_1152;size=119;	0	3	0	1	0	0	0	1	1	1	0	0	52	0	0	1	0	60	3	7
OTU_626;size=57;	0	0	0	0	0	0	0	0	0	0	1	0	84	0	0	0	2	0	0	0
OTU_413;size=119;	0	1	0	1	1	0	0	0	18	12	1	0	0	0	2	70	57	2	8	0
OTU_1450;size=19;	0	0	1	1	1	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_128;size=989;	2	3	646	82	5	5	27	3	4	8	34	4	3	6	109	334	5	3	9	3
OTU_164;size=597;	332	3	13	3	21	2	88	5	81	3	2	38	37	161	13	2	4	0	2	58
OTU_524;size=171;	1	31	0	2	96	1	10	3	11	58	1	0	24	0	1	15	2	0	0	10
OTU_169;size=536;	221	44	5	11	1	1	1	291	98	6	3	2	1	1	8	5	5	3	0	3
OTU_166;size=512;	0	2	119	3	2	2	0	0	2	1	1	578	2	1	1	0	1	0	0	2
OTU_911;size=20;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
OTU_980;size=16;	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	41	0	0	0	1
OTU_1439;size=53;	11	75	178	192	5	1	55	5	2	40	6	10	72	104	26	11	4	77	2	69
OTU_748;size=47;	0	0	0	14	26	0	7	0	0	1	0	0	0	0	26	1	0	0	0	0
OTU_823;size=28;	0	0	0	0	0	0	0	24	21	0	0	1	0	0	0	0	0	0	0	0
OTU_461;size=103;	0	1	1	1	0	0	0	0	0	1	165	1	0	0	0	0	1	0	0	0
OTU_223;size=612;	100	1	2	72	0	4	53	12	22	92	7	31	0	23	4	213	189	10	8	1
OTU_814;size=55;	0	0	1	0	2	0	0	0	0	0	89	0	0	0	2	0	0	0	0	0
OTU_464;size=187;	1	16	1	2	1	2	86	39	1	44	1	26	2	4	37	1	3	1	15	1
OTU_541;size=66;	0	1	0	0	0	0	0	0	0	1	0	94	0	0	0	0	0	1	0	0
OTU_345;size=140;	0	1	0	1	0	0	0	0	0	197	0	0	0	1	0	2	0	1	0	0
OTU_1307;size=9;	0	0	0	0	0	0	0	0	0	0	0	25	0	1	0	0	0	0	0	0
OTU_574;size=101;	1	1	3	0	0	0	0	38	1	2	0	1	1	0	0	1	107	3	0	0
OTU_1470;size=112;	3	307	82	11	280	1	37	27	109	54	55	56	2	125	12	164	17	36	320	150
OTU_156;size=948;	110	27	214	173	25	3	130	13	1	132	1	3	2	92	8	124	4	85	0	25
OTU_1503;size=34;	50	4	12	15	16	3	120	9	5	5	69	46	12	5	16	131	86	88	79	3
OTU_237;size=316;	142	0	53	39	3	2	1	19	0	6	1	3	2	10	37	2	108	15	1	4
OTU_1136;size=93;	1	6	3	3	9	0	4	76	13	2	5	2	8	38	3	1	1	16	22	5
OTU_744;size=34;	0	0	63	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
OTU_178;size=669;	2	0	1	3	2	1	2	2	1	1	3	1	1	0	2	3	944	0	4	4
OTU_217;size=362;	137	2	3	2	2	1	74	46	2	87	0	1	1	2	166	2	1	7	0	0
OTU_215;size=332;	3	1	0	0	2	2	1	0	149	144	67	0	0	34	62	1	0	4	4	1
OTU_706;size=67;	1	0	0	5	0	0	0	0	3	9	22	55	0	0	0	8	6	2	0	1
OTU_1052;size=22;	0	0	2	4	0	0	1	6	1	1	1	2	3	4	5	3	0	1	0	2
OTU_529;size=81;	121	0	1	1	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0
OTU_484;size=184;	2	1	0	0	0	0	0	0	0	0	298	0	1	0	1	1	0	0	0	1
OTU_476;size=95;	0	0	0	0	0	0	1	0	0	1	1	0	0	0	140	1	1	0	0	1
OTU_1354;size=4;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_460;size=174;	0	0	0	246	2	0	0	0	1	0	0	1	0	0	3	2	2	0	0	0
OTU_1361;size=30;	4	2	5	8	2	1	8	7	3	8	7	8	3	16	5	11	3	13	6	3
OTU_1164;size=9;	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_288;size=226;	1	0	0	23	0	3	2	0	0	0	1	1	1	2	0	69	225	11	0	0
OTU_580;size=190;	0	50	78	0	1	1	2	1	0	0	0	74	0	0	1	40	0	2	25	0
OTU_1151;size=28;	1	1	0	18	0	0	0	0	1	2	5	1	0	1	7	5	0	5	4	0
OTU_300;size=358;	132	1	19	3	113	3	1	6	2	80	1	87	76	3	5	0	2	0	3	10
OTU_224;size=595;	0	0	4	0	396	1	2	0	4	1	2	4	0	3	22	1	2	0	1	70
OTU_359;size=154;	1	0	1	2	1	1	1	0	1	1	230	0	0	0	0	1	0	0	1	2
OTU_535;size=95;	3	0	0	33	1	0	0	0	0	116	1	0	0	0	0	0	0	1	0	0
OTU_583;size=66;	0	0	1	79	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	19
OTU_946;size=22;	5	0	2	0	7	0	0	1	2	2	3	1	0	1	8	3	1	7	3	5
OTU_553;size=68;	0	0	16	0	1	0	0	1	75	0	0	1	0	15	1	0	0	0	0	0
OTU_680;size=66;	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	100	0
OTU_411;size=109;	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1	0	164
OTU_439;size=128;	59	0	0	8	3	0	11	0	0	0	0	1	21	0	60	0	46	2	7	0
OTU_571;size=57;	0	0	2	0	0	1	0	53	23	1	1	0	0	0	1	0	0	0	0	0
OTU_925;size=19;	0	0	1	0	1	0	0	0	0	1	0	34	0	1	1	0	0	0	0	0
OTU_137;size=799;	1	121	115	4	1	2	30	91	62	2	255	7	3	42	25	4	209	15	52	24
OTU_236;size=296;	0	0	0	0	0	0	1	0	3	1	2	0	0	0	1	1	428	1	0	0
OTU_656;size=46;	0	1	0	1	66	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
OTU_351;size=150;	0	0	2	1	0	0	0	0	0	1	1	1	0	0	231	0	0	0	1	0
OTU_117;size=1057;	0	0	1	4	3	3	1	0	1	2	1	1	1	3	1	2	1301	0	1	2
OTU_481;size=89;	0	0	0	0	132	0	0	0	1	0	0	0	0	1	1	0	1	2	1	0
OTU_738;size=125;	0	1	0	0	0	0	0	0	1	41	1	0	0	0	0	36	1	0	37	34
OTU_199;size=464;	12	0	3	3	5	2	514	7	1	11	6	7	2	1	10	4	12	2	2	0
OTU_364;size=138;	1	2	2	1	1	0	0	0	1	211	2	0	0	1	2	1	0	0	0	0
OTU_126;size=898;	3	6	3	3	0	2	1	58	3	2	463	2	309	1	6	322	2	2	4	4
OTU_448;size=100;	0	0	0	13	0	0	0	0	0	34	0	1	0	113	1	3	0	5	0	0
OTU_266;size=248;	1	0	3	329	3	1	2	1	0	3	1	0	6	2	3	3	1	0	0	1
OTU_903;size=34;	0	1	0	0	0	1	54	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_923;size=25;	0	0	0	0	0	0	0	0	0	0	0	0	1	0	44	1	0	0	1	0
OTU_456;size=121;	0	0	0	177	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
OTU_879;size=41;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0
OTU_1309;size=13;	0	0	0	1	0	0	0	1	2	1	0	132	1	0	0	0	1	0	1	0
OTU_261;size=256;	168	0	0	66	0	0	0	2	2	139	1	0	1	0	2	0	1	4	1	2
OTU_257;size=241;	0	0	0	0	2	0	0	1	0	0	1	332	1	0	1	0	0	1	1	0
OTU_730;size=38;	1	0	14	1	6	0	0	0	2	0	0	0	0	0	10	32	0	1	0	0
OTU_998;size=20;	0	0	1	1	0	0	0	0	39	0	0	0	0	0	0	0	2	0	0	0
OTU_432;size=99;	0	1	0	1	0	0	0	0	151	0	0	3	1	1	0	0	0	0	1	0
OTU_265;size=505;	3	2	5	5	400	2	23	1	4	2	143	1	4	2	4	77	5	33	17	0
OTU_1372;size=41;	1	0	1	1	0	0	0	1	0	0	1	425	0	0	0	0	0	0	1	0
OTU_1429;size=72;	0	0	1	0	1	1	0	16	30	5	0	0	0	0	0	5	2	37	1	2
OTU_371;size=202;	72	40	33	38	1	2	31	2	0	50	1	6	0	0	0	19	2	17	1	1
OTU_318;size=235;	2	2	83	2	3	0	0	13	0	1	52	0	152	24	1	4	0	1	1	1
OTU_815;size=56;	0	2	1	1	8	1	14	0	0	0	41	2	0	0	1	1	0	0	1	27
OTU_802;size=29;	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0
OTU_186;size=417;	0	0	62	323	32	1	0	0	2	1	1	2	0	1	0	140	2	1	0	0
OTU_409;size=120;	163	0	0	2	0	1	0	0	1	2	1	10	0	2	0	0	1	0	0	0
OTU_251;size=249;	1	2	0	3	0	1	0	1	0	2	1	0	0	15	1	1	0	331	1	0
OTU_642;size=48;	0	0	0	0	1	0	0	0	0	77	1	0	0	0	0	0	0	0	0	0
OTU_1271;size=13;	2	1	0	1	7	0	11	20	0	4	1	0	4	6	1	0	1	10	0	0
OTU_389;size=136;	0	1	181	1	0	1	0	0	1	1	0	39	1	1	0	2	0	1	1	0
OTU_770;size=34;	1	0	0	0	0	0	0	0	0	0	0	0	0	51	1	0	0	1	0	0
OTU_309;size=169;	1	0	2	3	1	0	0	0	0	2	239	2	0	0	2	0	0	0	1	2
OTU_826;size=47;	0	1	0	1	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
OTU_1475;size=6;	1	1	0	1	2	0	0	0	0	1	0	0	0	0	111	0	1	0	1	0
OTU_893;size=21;	0	32	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_1417;size=13;	0	5	0	0	3	0	19	8	1	1	2	0	5	4	0	0	1	0	16	3
OTU_1034;size=16;	0	0	0	0	0	0	0	0	0	1	0	1	0	17	0	7	0	0	0	0
OTU_1283;size=5;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
OTU_192;size=401;	3	105	123	2	2	0	35	9	4	2	2	37	0	2	6	132	1	91	0	5
OTU_561;size=66;	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	104
OTU_507;size=82;	0	0	0	1	2	0	0	88	0	0	1	0	34	1	1	1	0	0	0	1
OTU_621;size=78;	2	0	219	0	6	0	2	1	2	0	3	1	0	1	144	0	6	1	81	0
OTU_727;size=36;	0	0	1	0	1	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0
OTU_537;size=73;	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	121	1	0	0	0
OTU_1301;size=7;	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_375;size=238;	1	0	2	0	0	1	1	0	40	2	1	203	0	68	1	37	0	1	1	1
OTU_518;size=85;	0	0	3	0	0	0	0	0	1	0	102	0	0	0	0	10	0	0	0	0
OTU_337;size=282;	0	2	178	1	0	0	1	2	0	1	0	3	0	0	2	1	1	2	224	1
OTU_1599;size=18;	2	4	1	50	0	1	7	2	2	144	75	21	0	6	60	61	23	1	17	8
OTU_1519;size=6;	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1183;size=8;	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
